Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
388,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,11.3,1,0,0,2,1,0,50.0,0.18,0.09,0.50,1.00,0.2,0.2,0.10,+0.8,+0.8,Matches
389,Raheem Sterling\Raheem-Sterling,eng ENG,FWMF,Manchester City,18.6,11,0,1,56,19,1,33.9,3.02,1.02,0.20,0.58,9.6,8.7,0.17,+1.4,+2.3,Matches
390,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,20.0,1,0,0,12,2,0,16.7,0.60,0.10,0.08,0.50,0.5,0.5,0.04,+0.5,+0.5,Matches
391,Marco Stiepermann\Marco-Stiepermann,de GER,FWMF,Norwich City,10.2,0,0,0,18,5,0,27.8,1.76,0.49,0.00,0.00,1.5,1.5,0.08,-1.5,-1.5,Matches
392,John Stones\John-Stones,eng ENG,DF,Manchester City,7.8,0,0,0,5,1,0,20.0,0.64,0.13,0.00,0.00,0.6,0.6,0.12,-0.6,-0.6,Matches
393,Isaac Success\Isaac-Success,ng NGA,FW,Watford,0.6,0,0,0,1,1,0,100.0,1.80,1.80,0.00,0.00,0.1,0.1,0.08,-0.1,-0.1,Matches
394,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,1.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
395,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,0.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
396,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,12.8,1,0,0,2,1,1,50.0,0.16,0.08,0.50,1.00,0.2,0.2,0.12,+0.8,+0.8,Matches
397,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,20.0,1,0,0,12,2,0,16.7,0.60,0.10,0.08,0.50,1.3,1.3,0.12,-0.3,-0.3,Matches
398,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,6.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
